date,status,diary
2019-01-01,civilian,
2019-01-02,civilian,
2019-01-03,civilian,
2019-01-04,civilian,
2019-01-05,civilian,
2019-01-06,civilian,
2019-01-07,civilian,
2019-01-08,civilian,
2019-01-09,civilian,
2019-01-10,civilian,
2019-01-11,civilian,
2019-01-12,civilian,
2019-01-13,civilian,
2019-01-14,civilian,
2019-01-15,civilian,
2019-01-16,civilian,
2019-01-17,civilian,
2019-01-18,civilian,
2019-01-19,civilian,
2019-01-20,civilian,
2019-01-21,bootcamp,입대
2019-01-22,bootcamp,
2019-01-23,bootcamp,
2019-01-24,bootcamp,
2019-01-25,bootcamp,
2019-01-26,bootcamp,
2019-01-27,bootcamp,
2019-01-28,bootcamp,
2019-01-29,bootcamp,
2019-01-30,bootcamp,
2019-01-31,bootcamp,
2019-02-01,bootcamp,
2019-02-02,bootcamp,
2019-02-03,bootcamp,
2019-02-04,bootcamp,
2019-02-05,bootcamp,
2019-02-06,bootcamp,
2019-02-07,bootcamp,
2019-02-08,bootcamp,
2019-02-09,bootcamp,
2019-02-10,bootcamp,
2019-02-11,bootcamp,
2019-02-12,bootcamp,
2019-02-13,bootcamp,
2019-02-14,bootcamp,
2019-02-15,bootcamp,
2019-02-16,bootcamp,
2019-02-17,bootcamp,
2019-02-18,bootcamp,
2019-02-19,bootcamp,
2019-02-20,bootcamp,
2019-02-21,bootcamp,
2019-02-22,bootcamp,
2019-02-23,bootcamp,
2019-02-24,bootcamp,
2019-02-25,bootcamp,
2019-02-26,bootcamp,
2019-02-27,bootcamp,
2019-02-28,kta,
2019-03-01,kta,
2019-03-02,kta,
2019-03-03,kta,
2019-03-04,kta,
2019-03-05,kta,
2019-03-06,kta,
2019-03-07,kta,
2019-03-08,kta,
2019-03-09,kta,
2019-03-10,kta,
2019-03-11,kta,
2019-03-12,kta,
2019-03-13,kta,
2019-03-14,kta,
2019-03-15,kta,
2019-03-16,kta,
2019-03-17,kta,
2019-03-18,kta,
2019-03-19,kta,
2019-03-20,kta,
2019-03-21,workday,
2019-03-22,workday,
2019-03-23,workday,
2019-03-24,workday,
2019-03-25,workday,
2019-03-26,workday,
2019-03-27,workday,
2019-03-28,workday,
2019-03-29,workday,
2019-03-30,workday,
2019-03-31,workday,
2019-04-01,workday,
2019-04-02,workday,
2019-04-03,workday,
2019-04-04,workday,
2019-04-05,pass,
2019-04-06,pass,
2019-04-07,pass,
2019-04-08,pass,이성민 전역
2019-04-09,workday,
2019-04-10,workday,
2019-04-11,workday,
2019-04-12,workday,
2019-04-13,pass,
2019-04-14,pass,
2019-04-15,workday,
2019-04-16,workday,
2019-04-17,workday,
2019-04-18,workday,
2019-04-19,workday,
2019-04-20,pass,
2019-04-21,pass,
2019-04-22,workday,
2019-04-23,workday,
2019-04-24,workday,
2019-04-25,workday,
2019-04-26,workday,
2019-04-27,pass,
2019-04-28,pass,
2019-04-29,pass,
2019-04-30,pass,
2019-05-01,dayoff,
2019-05-02,dayoff,
2019-05-03,pass,
2019-05-04,pass,
2019-05-05,pass,
2019-05-06,pass,
2019-05-07,workday,
2019-05-08,workday,
2019-05-09,workday,
2019-05-10,workday,
2019-05-11,pass,
2019-05-12,pass,
2019-05-13,pass,
2019-05-14,workday,
2019-05-15,workday,
2019-05-16,workday,
2019-05-17,workday,
2019-05-18,pass,
2019-05-19,pass,
2019-05-20,workday,
2019-05-21,workday,
2019-05-22,workday,
2019-05-23,workday,이성규, 엄기윤 전역
2019-05-24,pass,
2019-05-25,pass,
2019-05-26,pass,
2019-05-27,pass,
2019-05-28,workday,
